#"Step","Potential Energy (kJ/mole)","Temperature (K)"
41600,-21091.080278147245,308.78645403698795
41700,-21038.46822505918,299.27330009518124
41800,-21082.16686803202,300.61236019005713
41900,-21107.235875700666,304.9611096363801
42000,-21065.562190069075,300.0290886974335
42100,-21123.532141633852,311.5874577065216
42200,-21118.51580139925,311.84874202094915
42300,-20979.285213729727,308.66692305952034
42400,-21190.32818247497,310.4624862698905
42500,-21082.225450176684,301.6368552568245
42600,-21021.821959318382,302.9047633798499
42700,-20973.85941625261,303.53928942246824
42800,-21167.55623408403,305.2392135215629
42900,-21085.41741981412,304.4730907263882
43000,-20941.064293921783,311.3754069932649
43100,-20951.80758567343,311.26805556667716
43200,-20868.131350727483,304.180581485809
43300,-20745.079091141426,300.3739242988031
43400,-20646.886502961715,307.20781739175493
43500,-20889.67636946838,316.36830249793195
